,id,Asteroid Name,Potentially Hazardous,Miss Distance (miles),Orbiting Body,Close Approach Velocity (mph),Date,Max Diameter (meters)
0,2000433,433 Eros (A898 PA),False,29274494.7651919558,Earth,12478.8132604691,1900-12-27,48982.3907803082
1,2000719,719 Albert (A911 TB),False,158840482.6425908148,Juptr,7708.4220204903,1909-08-21,4529.3927309679
2,2000887,887 Alinda (A918 AA),False,29796347.8978383466,Earth,15221.6378903555,1910-01-04,9954.9705314777
3,2001036,1036 Ganymed (A924 UB),False,181845412.667573937,Juptr,14101.1187202357,1910-02-25,83567.9942815527
4,2001221,1221 Amor (1932 EA1),False,26496951.9500046498,Earth,29682.2744667229,1900-03-08,1986.2777548083
5,2001566,1566 Icarus (1949 MA),True,7853232.208024224,Earth,60414.3684036889,1902-06-11,2857.8536096394
6,2001580,1580 Betulia (1950 KA),False,45141928.863487742,Earth,64169.8803508978,1911-05-07,6855.5133165417
7,2001620,1620 Geographos (1951 RA),True,3151128.4998602272,Earth,26312.2352434672,1901-08-23,5248.5577337793
8,2001627,1627 Ivar (1929 SH),False,22917859.0372626284,Earth,18753.1545998103,1901-07-11,16070.8918604465
9,2001685,1685 Toro (1948 OA),False,18615768.5446245454,Earth,38047.6030472614,1900-08-02,8129.053443399
10,2001862,1862 Apollo (1932 HA),True,24822600.6741127696,Earth,27540.4395202778,1905-10-06,3597.8245323628
11,2001863,1863 Antinous (1948 EA),False,8313139.9819666,Mars,40442.0647706509,1907-10-11,4808.8361392769
12,2001864,1864 Daedalus (1971 FA),False,27574722.1399779688,Earth,50344.132594265,1902-11-17,6281.1617709197
13,2001865,1865 Cerberus (1971 UA),False,31035592.7524750988,Earth,34286.9545244026,1900-05-20,2606.3934692836
14,2001866,1866 Sisyphus (1972 XA),False,41935732.4703685384,Earth,75639.8673721006,1912-12-09,18367.0741280536
15,2001915,1915 Quetzalcoatl (1953 EA),False,2354859.6492410794,Earth,33824.1773988186,1906-03-06,1458.9485569187
16,2001916,1916 Boreas (1953 RA),False,36239276.7685991404,Earth,15563.0019414851,1905-08-25,6081.9098543763
17,2001917,1917 Cuyo (1968 AA),False,41810309.2370648898,Earth,41153.493583164,1907-10-29,7835.0176433383
18,2001943,1943 Anteros (1973 EC),False,38347267.4093291148,Earth,29659.5081098514,1908-04-11,4285.879720462
19,2001980,1980 Tezcatlipoca (1950 LA),False,44526653.8816123896,Earth,28857.3609572129,1921-07-08,10000.9205876786
20,2001981,1981 Midas (1973 EA),True,34859817.5528080196,Earth,48798.5357518539,1902-04-04,5224.4428014861
21,2002059,2059 Baboquivari (1963 UA),False,33950277.1259201538,Earth,16619.1908194301,1907-10-24,3784.7742367515
22,2002061,2061 Anza (1960 UA),False,20665730.9750197644,Earth,27864.9246273801,1926-08-18,2716.6893408911
23,2002062,2062 Aten (1976 AA),False,11703739.955749485,Earth,25207.225322211,1900-01-19,2249.2616510316
24,2002063,2063 Bacchus (1977 HB),False,43384971.0534391942,Earth,21322.2062557364,1900-06-26,2128.3349598411
25,2002100,2100 Ra-Shalom (1978 RA),False,27275712.3700609244,Earth,41920.4417417423,1902-08-08,3373.1835891292
26,2002101,2101 Adonis (1936 CA),True,17485366.1451945456,Earth,43239.3297629342,1902-07-16,1071.6179479846
