,id,Asteroid Name,Potentially Hazardous,Miss Distance (miles),Orbiting Body,Close Approach Velocity (mph),Date,Max Diameter (miles)
0,2000433,433 Eros (A898 PA),False,29274494.77,Earth,12478.81,1900-12-27,30.44
1,2000719,719 Albert (A911 TB),False,158840482.64,Juptr,7708.42,1909-08-21,2.81
2,2000887,887 Alinda (A918 AA),False,29796347.90,Earth,15221.64,1910-01-04,6.19
3,2001036,1036 Ganymed (A924 UB),False,181845412.67,Juptr,14101.12,1910-02-25,51.93
4,2001221,1221 Amor (1932 EA1),False,26496951.95,Earth,29682.27,1900-03-08,1.23
5,2001566,1566 Icarus (1949 MA),True,7853232.21,Earth,60414.37,1902-06-11,1.78
6,2001580,1580 Betulia (1950 KA),False,45141928.86,Earth,64169.88,1911-05-07,4.26
7,2001620,1620 Geographos (1951 RA),True,3151128.50,Earth,26312.24,1901-08-23,3.26
8,2001627,1627 Ivar (1929 SH),False,22917856.20,Earth,18753.15,1901-07-11,9.99
9,2001685,1685 Toro (1948 OA),False,18615768.55,Earth,38047.6,1900-08-02,5.05
10,2001862,1862 Apollo (1932 HA),True,24822600.67,Earth,27540.44,1905-10-06,2.24
11,2001863,1863 Antinous (1948 EA),False,8313139.98,Mars,40442.06,1907-10-11,2.99
12,2001864,1864 Daedalus (1971 FA),False,27574722.14,Earth,50344.13,1902-11-17,3.9
13,2001865,1865 Cerberus (1971 UA),False,31035592.75,Earth,34286.95,1900-05-20,1.62
14,2001866,1866 Sisyphus (1972 XA),False,41935732.47,Earth,75639.87,1912-12-09,11.41
15,2001915,1915 Quetzalcoatl (1953 EA),False,2354859.65,Earth,33824.18,1906-03-06,0.91
16,2001916,1916 Boreas (1953 RA),False,36239276.77,Earth,15563.0,1905-08-25,3.78
17,2001917,1917 Cuyo (1968 AA),False,41810309.24,Earth,41153.49,1907-10-29,4.87
18,2001943,1943 Anteros (1973 EC),False,38347267.41,Earth,29659.51,1908-04-11,2.66
19,2001980,1980 Tezcatlipoca (1950 LA),False,44526653.88,Earth,28857.36,1921-07-08,6.21
20,2001981,1981 Midas (1973 EA),True,34859817.55,Earth,48798.54,1902-04-04,3.25
21,2002059,2059 Baboquivari (1963 UA),False,33950277.13,Earth,16619.19,1907-10-24,2.35
22,2002061,2061 Anza (1960 UA),False,20665730.98,Earth,27864.92,1926-08-18,1.69
23,2002062,2062 Aten (1976 AA),False,11703739.96,Earth,25207.23,1900-01-19,1.4
24,2002063,2063 Bacchus (1977 HB),False,43384971.05,Earth,21322.21,1900-06-26,1.32
25,2002100,2100 Ra-Shalom (1978 RA),False,27275712.37,Earth,41920.44,1902-08-08,2.1
26,2002101,2101 Adonis (1936 CA),True,17485366.15,Earth,43239.33,1902-07-16,0.67
27,2002102,2102 Tantalus (1975 YA),True,30581590.76,Earth,72306.13,1910-01-05,2.36
28,2002135,2135 Aristaeus (1977 HA),True,44353493.00,Earth,61375.58,1958-10-17,0.91
29,2002201,2201 Oljato (1947 XC),True,24928516.29,Earth,33000.5,1900-01-22,3.13
30,2002202,2202 Pele (1972 RA),False,23395930.63,Earth,17127.3,1913-10-20,1.38
31,2002212,2212 Hephaistos (1978 SB),False,10959373.74,Venus,65812.17,1905-03-14,7.33
32,2002329,2329 Orthos (1976 WA),False,45170789.50,Earth,52396.97,1909-05-16,4.5
33,2002340,2340 Hathor (1976 UA),True,7401280.19,Merc,39126.88,1901-07-04,0.3
34,2002368,2368 Beltrovata (1977 RA),False,41263539.06,Earth,3514.78,1919-09-18,3.4
35,2002608,2608 Seneca (1978 DA),False,16013853.58,Earth,38328.86,1905-03-01,1.18
36,2003102,3102 Krok (1981 QA),False,31732883.73,Earth,20728.76,1921-08-28,2.15
37,2003103,3103 Eger (1982 BB),False,42402691.74,Earth,49241.18,1900-01-08,3.17
38,2003122,3122 Florence (1981 ET3),True,36073850.73,Earth,45389.5,1923-08-08,5.59
39,2003199,3199 Nefertiti (1982 RA),False,30069922.78,Earth,37033.7,1901-09-08,3.64
40,2003200,3200 Phaethon (1983 TB),True,33416233.95,Earth,79057.3,1907-10-08,4.87
41,2003271,3271 Ul (1982 RB),False,40570217.12,Earth,29448.54,1915-08-28,1.78
42,2003288,3288 Seleucus (1982 DV),False,21663419.71,Earth,19959.29,1918-05-07,3.14
43,2003352,3352 McAuliffe (1981 CW),False,45538656.63,Earth,5368.42,1909-03-14,2.36
44,2003360,3360 Syrinx (1981 VA),False,29080558.58,Earth,66871.08,1912-11-07,2.29
45,2003361,3361 Orpheus (1982 HR),True,39685823.94,Earth,47804.07,1917-10-29,0.45
46,2003362,3362 Khufu (1984 QA),True,45286425.75,Earth,67130.12,1912-09-09,0.73
47,2003551,3551 Verenia (1983 RD),False,33257722.51,Earth,34794.99,1977-08-20,1.68
48,2003552,3552 Don Quixote (1983 SA),False,39497518.73,Earth,47472.71,1904-09-07,8.98
49,2003553,3553 Mera (1985 JA),False,37737673.38,Earth,40138.62,1907-05-06,1.91
50,2003554,3554 Amun (1986 EB),False,36642932.42,Earth,33300.84,1909-02-03,2.43
51,2003671,3671 Dionysus (1984 KD),True,32956884.61,Earth,43926.58,1903-05-15,1.83
52,2003691,3691 Bede (1982 FT),False,32372959.58,Earth,23558.7,1904-03-29,3.76
53,2003752,3752 Camillo (1985 PA),False,30946543.40,Earth,72816.36,1902-02-26,3.38
54,2003753,3753 Cruithne (1986 TO),False,8541522.97,Earth,37128.34,1900-07-17,2.96
55,2003757,3757 Anagolay (1982 XB),True,16991879.65,Earth,24369.08,1900-11-16,0.57
56,2003838,3838 Epona (1986 WA),False,24729253.93,Earth,48560.27,1903-10-28,2.64
57,2003908,3908 Nyx (1980 PA),False,18708978.34,Earth,24391.96,1905-11-19,1.19
58,2003988,3988 Huma (1986 LA),False,5099232.46,Mars,16396.45,1900-07-25,0.95
59,2004015,4015 Wilson-Harrington (1979 VA),True,38572975.39,Earth,48250.51,1902-07-21,2.14
60,2004034,4034 Vishnu (1986 PA),True,32207754.04,Earth,54196.07,1901-08-21,0.73
61,2004055,4055 Magellan (1985 DO2),False,26597269.29,Earth,29867.02,1902-08-30,3.76
62,2004179,4179 Toutatis (1989 AC),True,38070307.79,Earth,62148.19,1903-01-24,3.2
63,2004183,4183 Cuno (1959 LM),True,7401648.99,Mars,40167.62,1903-09-16,5.41
64,2004197,4197 Morpheus (1982 TA),False,39977505.52,Earth,81595.09,1906-05-26,3.64
65,2004257,4257 Ubasti (1987 QA),False,3666624.18,Mars,50612.68,1911-07-24,2.29
66,2004341,4341 Poseidon (1987 KF),False,18819406.62,Earth,44556.54,1900-04-23,2.25
67,2004401,4401 Aditi (1985 TB),False,34228050.76,Earth,40064.85,1927-11-05,2.2
68,2004450,4450 Pan (1987 SY),True,38769430.68,Earth,42167.03,1904-06-06,1.29
69,2004486,4486 Mithra (1987 SB),True,16327885.60,Earth,49669.66,1902-08-23,2.76
70,2004487,4487 Pocahontas (1987 UA),False,38160127.30,Earth,21845.14,1905-09-24,1.17
71,2004503,4503 Cleobulus (1989 WM),False,126436636.40,Juptr,10337.63,1902-07-15,2.53
72,2004544,4544 Xanthus (1989 FB),False,6042142.57,Venus,18402.67,1902-07-03,1.22
73,2004581,4581 Asclepius (1989 FC),True,10273254.69,Venus,28278.42,1901-06-27,0.26
74,2004596,4596 (1981 QB),False,37495258.32,Earth,54985.15,1904-09-02,1.89
75,2004660,4660 Nereus (1982 DB),True,1933303.25,Earth,12403.32,1900-01-29,0.66
76,2004688,4688 (1980 WF),False,37017642.69,Earth,35702.18,1940-11-17,0.44
77,2004769,4769 Castalia (1989 PB),True,41363444.46,Earth,42297.97,1900-12-19,1.16
78,2004947,4947 Ninkasi (1988 TJ1),False,20727748.66,Earth,18923.12,1903-10-22,0.89
79,2004953,4953 (1990 MU),True,42487761.86,Earth,80138.98,1919-11-05,3.78
80,2004954,4954 Eric (1990 SQ),False,30780945.47,Earth,34269.42,1908-10-02,11.36
81,2004957,4957 Brucemurray (1990 XJ),False,43905133.43,Earth,38171.95,1937-06-18,3.48
82,2005011,5011 Ptah (6743 P-L),True,3735299.22,Mars,34300.74,1902-03-31,1.69
83,2005131,5131 (1990 BG),False,35772537.58,Earth,57672.36,1903-06-25,3.94
84,2005143,5143 Heracles (1991 VL),False,167971090.33,Juptr,13550.24,1903-12-22,5.67
85,2005189,5189 (1990 UQ),True,3357241.84,Mars,24473.31,1901-03-25,1.0
86,2005324,5324 Lyapunov (1987 SL),False,42294342.24,Earth,32801.35,1906-07-13,3.14
87,2005332,5332 Davidaguilar (1990 DA),False,40874503.99,Earth,40291.19,1904-01-29,3.63
88,2005370,5370 Taranis (1986 RA),False,36861691.76,Earth,27767.1,1925-09-02,3.31
89,2005381,5381 Sekhmet (1991 JY),False,31606189.25,Earth,62207.21,1907-05-24,1.65
90,2005496,5496 (1973 NA),False,7113217.26,Earth,85258.67,1916-07-03,2.17
91,2005587,5587 (1990 SB),False,45623525.50,Earth,45533.9,1901-05-02,6.13
92,2005590,5590 (1990 VA),False,3006719.01,Venus,28955.13,1900-05-27,0.38
93,2005604,5604 (1992 FE),True,9382458.99,Earth,33278.72,1901-02-26,1.23
94,2005620,5620 Jasonwheeler (1990 OA),False,22287719.85,Earth,10296.36,1917-07-09,1.39
95,2005626,5626 Melissabrucker (1991 FE),False,40503586.16,Earth,5057.54,1905-10-05,4.98
96,2005645,5645 (1990 SP),False,33330534.44,Earth,42505.31,1901-03-22,1.32
97,2005646,5646 (1990 TR),False,28319161.79,Earth,11495.5,1921-09-21,2.92
98,2005653,5653 Camarillo (1992 WD5),False,40126992.14,Earth,9179.53,1909-03-19,2.1
99,2005660,5660 (1974 MA),False,29335414.52,Earth,83300.71,1900-07-23,2.91
100,2005693,5693 (1993 EA),True,33346054.94,Earth,65873.36,1900-05-12,1.62
101,2005731,5731 Zeus (1988 VP4),False,21870945.44,Earth,39684.32,1907-04-15,2.97
102,2005751,5751 Zao (1992 AC),False,33049077.94,Earth,24440.38,1928-02-06,3.76
103,2005786,5786 Talos (1991 RC),False,22849125.36,Earth,55864.7,1902-08-03,1.35
104,2005797,5797 Bivoj (1980 AA),False,39966284.72,Earth,37452.83,1928-02-18,0.62
105,2005828,5828 (1991 AM),False,41956771.50,Earth,64871.19,1900-08-07,2.31
106,2005836,5836 (1993 MF),False,163424782.78,Juptr,5536.7,1907-09-11,3.69
107,2005863,5863 Tara (1983 RB),False,22417910.49,Earth,29602.37,1930-08-19,2.5
108,2005869,5869 Tanith (1988 VN4),False,30666986.34,Earth,21660.62,1910-12-05,1.33
109,2005879,5879 Almeria (1992 CH1),False,40963945.84,Earth,30691.69,1903-02-17,1.11
110,2006037,6037 (1988 EG),True,25588167.62,Earth,24825.35,1905-01-14,0.62
111,2006047,6047 (1991 TB1),False,42435140.54,Earth,47633.55,1935-10-19,1.0
112,2006050,6050 Miwablock (1992 AE),False,28566436.30,Earth,5299.15,1906-09-25,3.68
113,2006053,6053 (1993 BW3),False,19898258.68,Earth,32493.04,1910-09-02,3.53
114,2006063,6063 Jason (1984 KB),False,13256966.96,Venus,66463.16,1901-08-24,2.31
115,2006178,6178 (1986 DA),False,37135822.46,Earth,22197.24,1934-03-23,2.58
116,2006239,6239 Minos (1989 QF),True,18161118.77,Earth,41632.13,1900-08-23,0.7
